Config,Recall,Delta
Full System,0.7076923076923077,0.0
w/o Comp,0.6837606837606838,-0.023931623931623958
w/o Vec,0.3452991452991453,-0.36239316239316244
w/o Ent,0.5948717948717949,-0.11282051282051286
w/o Rescue,0.6923076923076923,-0.015384615384615441
+ Data-Driven (V2.2),1.0,0.29230769230769227
