,R@10,R@50,R@100,R@500,MRR,N
TF-IDF,5.638764334748622,11.159823536402874,16.514819330128265,35.52379113813735,10.889662101887495,79.0
BM25,4.692086475037174,11.580329810648928,13.326660047253943,28.768874598893536,8.516888261145258,79.0
SBERT,8.245889265841482,16.758552312618036,23.998116778931813,39.271580065597625,12.782113927577967,79.0
BioBERT,3.9414028625342192,9.46000780050298,18.27754522021212,35.63125911711555,6.14581617243638,79.0
SapBERT,4.9100972541667245,16.023924632930882,19.68496598976966,36.06148894191216,11.414033763970222,79.0
Company,6.478195076040416,14.498445727598957,24.26485614313648,46.9554654030164,11.352265728340507,79.0
